Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-05-06,1.77639,1.77639,1.65652,1.75398,3319.8889609629
2013-05-07,1.75398,1.75398,1.60404,1.64144,2248.4389645775
2013-05-08,1.64894,1.64894,1.64894,1.64894,1988.0330232718
2013-05-09,1.64894,1.67152,1.64894,1.66402,1000.3259066896
2013-05-10,1.66402,1.66402,1.66402,1.66402,32.120556636821
2013-05-13,1.67152,1.67152,1.67152,1.67152,29.826231162762
2013-05-14,1.67152,1.67152,1.58905,1.67152,3568.8232748982
2013-05-15,1.67152,1.67893,1.67152,1.67893,127.33506381026
2013-05-16,1.67893,1.67893,1.61904,1.63395,967.05818731572
2013-05-17,1.63395,1.64894,1.63395,1.64894,253.52296488348
2013-05-21,1.64144,1.64144,1.64144,1.64144,26.384742951674
2013-05-22,1.64144,1.64144,1.49909,1.61154,6809.5580070061
2013-05-23,1.63395,1.66402,1.63395,1.66402,373.97505227156
2013-05-24,1.66402,1.87393,1.66402,1.87393,23329.848582965
2013-05-27,1.87393,1.87393,1.86635,1.87393,1361.6821688538
2013-05-28,1.87393,1.87393,1.87393,1.87393,53.916648640378
2013-05-29,1.86635,1.86635,1.68643,1.79888,1277.9392890507
2013-05-31,1.76139,1.79888,1.76139,1.79888,868.4021919312
2013-06-03,1.65652,1.79888,1.64894,1.73899,5162.232316632
2013-06-04,1.73899,1.75398,1.68643,1.75398,1788.4267070287
2013-06-05,1.64894,1.64894,1.64144,1.64894,1533.7565794082
2013-06-06,1.68643,1.68643,1.68643,1.68643,134.21804023243
2013-06-07,1.64894,1.64894,1.64894,1.64894,79.154228855023
2013-06-10,1.64894,1.64894,1.63395,1.63395,26.384742951674
2013-06-11,1.63395,1.64894,1.63395,1.64894,593.08313504416
2013-06-12,1.64894,1.64894,1.64894,1.64894,73.418415169877
2013-06-13,1.64894,1.68643,1.61904,1.68643,641.26396999939
2013-06-14,1.68643,1.68643,1.68643,1.68643,32.120556636821
2013-06-17,1.68643,1.68643,1.68643,1.68643,26.384742951674
2013-06-18,1.68643,1.68643,1.68643,1.68643,32.120556636821
2013-06-19,1.68643,1.68643,1.68643,1.68643,32.120556636821
2013-06-20,1.68643,1.69401,1.68643,1.69401,32.120556636821
2013-06-21,1.69401,1.69401,1.69401,1.69401,59.652462325525
2013-06-24,1.68643,1.69401,1.68643,1.69401,501.31011608181
2013-06-25,1.69401,1.69401,1.69401,1.69401,26.384742951674
2013-06-26,1.69401,1.69401,1.68643,1.69401,867.25502919417
2013-06-27,1.69401,1.69401,1.69401,1.69401,694.03345590274
2013-06-28,1.64894,1.64894,1.64894,1.64894,134.21804023243
2013-07-02,1.69401,1.7015,1.69401,1.7015,106.68613454373
2013-07-03,1.7015,1.709,1.7015,1.709,440.51049101926
2013-07-04,1.709,1.709,1.709,1.709,60.799625062554
2013-07-05,1.709,1.709,1.709,1.709,32.120556636821
2013-07-08,1.709,1.709,1.709,1.709,26.384742951674
2013-07-09,1.709,1.709,1.709,1.709,26.384742951674
2013-07-10,1.709,1.709,1.709,1.709,53.916648640378
2013-07-11,1.709,1.709,1.709,1.709,12.618790107323
2013-07-12,1.709,1.709,1.709,1.709,66.535438747701
2013-07-15,1.709,1.709,1.709,1.709,26.384742951674
2013-07-16,1.709,1.709,1.709,1.709,41.297858533056
2013-07-17,1.709,1.71641,1.709,1.709,401.50695796026
2013-07-18,1.71641,1.71641,1.71641,1.71641,20.648929266528
2013-07-19,1.71641,1.71641,1.71641,1.71641,26.384742951674
2013-07-22,1.71641,1.72391,1.71641,1.72391,267.28891772783
2013-07-24,1.76139,1.76139,1.76139,1.76139,134.21804023243
2013-07-25,1.77639,1.77639,1.77639,1.77639,134.21804023243
2013-07-29,1.79888,1.79888,1.79888,1.79888,17.20744105544
2013-07-30,1.83636,1.86635,1.83636,1.86635,135.36520296946
2013-07-31,1.86635,1.87393,1.86635,1.87393,340.70733289771
2013-08-01,1.88884,1.88884,1.7688,1.86635,3043.4227413388
2013-08-02,1.83636,1.86635,1.72391,1.78397,2559.3200663124
2013-08-05,1.78397,1.78397,1.78397,1.78397,26.384742951674
2013-08-06,1.78397,1.78397,1.78397,1.78397,12.618790107323
2013-08-07,1.78397,1.78397,1.78397,1.78397,12.618790107323
2013-08-08,1.78397,1.78397,1.78397,1.78397,57.358136851466
2013-08-09,1.78397,1.79146,1.78397,1.79146,35.562044847909
2013-08-12,1.79146,1.79146,1.79146,1.79146,41.297858533056
2013-08-13,1.79146,1.79146,1.79146,1.79146,43.592184007114
2013-08-14,1.79146,1.79146,1.79146,1.79146,169.78008508034
2013-08-16,1.79146,1.79146,1.79146,1.79146,41.297858533056
2013-08-19,1.79146,1.79146,1.79146,1.79146,26.384742951674
2013-08-20,1.79146,1.79888,1.79146,1.79888,41.297858533056
2013-08-21,1.79888,1.79888,1.79888,1.79888,20.648929266528
2013-08-22,1.79888,1.79888,1.79888,1.79888,26.384742951674
2013-08-23,1.79888,1.79888,1.79888,1.79888,12.618790107323
2013-08-26,1.79888,1.79888,1.79888,1.79888,41.297858533056
2013-08-27,1.79888,1.79888,1.79888,1.79888,32.120556636821
